Generation,Average Fitness,Best Fitness
1,0.42693,1.0
2,0.364341,0.883333
3,0.320158,0.816667
4,0.344653,0.645
5,0.334923,1.0
6,0.299276,0.634286
7,0.334376,0.95
8,0.285643,0.633333
9,0.303727,0.586905
10,0.23558,0.722619
11,0.210722,0.438333
12,0.222833,0.553333
13,0.215942,0.442857
14,0.209411,0.503333
15,0.202525,0.574756
16,0.196272,0.370599
17,0.175598,0.312619
18,0.169374,0.333371
19,0.165626,0.297329
20,0.151397,0.296786
21,0.143281,0.307063
22,0.168029,0.421587
23,0.134746,0.268743
24,0.133336,0.256391
25,0.140482,0.425952
26,0.111864,0.20096
27,0.105781,0.294488
28,0.157015,0.397534
29,0.133489,0.27486
30,0.131299,0.243803
31,0.147615,0.267143
32,0.145553,0.3379
33,0.131879,0.242761
34,0.156224,0.327935
35,0.16076,0.298016
36,0.151656,0.411111
37,0.144695,0.331899
38,0.157091,0.351069
39,0.153052,0.349551
40,0.153085,0.409841
41,0.15511,0.492619
42,0.151772,0.447222
43,0.126805,0.212553
44,0.129243,0.223613
45,0.169696,0.362137
46,0.13947,0.363571
47,0.134136,0.299504
48,0.143971,0.341631
49,0.13639,0.326786
50,0.13143,0.269012
51,0.123626,0.259399
52,0.104759,0.22756
53,0.132786,0.229762
54,0.126086,0.262345
55,0.143528,0.285801
56,0.148967,0.308611
57,0.166159,0.311234
58,0.154227,0.329607
59,0.155639,0.312421
60,0.145029,0.38541
61,0.145962,0.524444
62,0.158711,0.355245
63,0.137859,0.287302
64,0.142542,0.422778
65,0.140797,0.362083
66,0.126492,0.283845
67,0.12951,0.306429
68,0.133085,0.421496
69,0.131709,0.259444
70,0.155576,0.295587
71,0.130159,0.329167
72,0.133703,0.287617
73,0.136095,0.28523
74,0.0937145,0.232821
75,0.145616,0.296806
76,0.126597,0.306497
77,0.102801,0.214484
78,0.10763,0.262496
79,0.108047,0.377021
80,0.102304,0.178882
81,0.0992143,0.299694
82,0.10569,0.221111
83,0.114771,0.310479
84,0.123304,0.276171
85,0.10946,0.361069
86,0.0831136,0.259355
87,0.0931606,0.189516
88,0.0889153,0.214467
89,0.0924076,0.175837
90,0.0921238,0.153025
91,0.0928844,0.173036
92,0.0940916,0.165345
93,0.110557,0.227273
94,0.0995673,0.181131
95,0.0924094,0.16147
96,0.0914793,0.21568
97,0.104095,0.195986
98,0.0969452,0.217496
99,0.102006,0.529167
100,0.105981,0.278683
101,0.0889309,0.19794
102,0.0975495,0.199958
103,0.113372,0.250782
104,0.129999,0.233777
105,0.119231,0.374091
106,0.14118,0.379627
107,0.122214,0.218094
108,0.124384,0.206332
109,0.133836,0.28283
110,0.128882,0.325743
111,0.126448,0.247543
112,0.125917,0.245794
113,0.13511,0.278535
114,0.14876,0.524167
115,0.132106,0.319722
116,0.156136,0.3517
117,0.15277,0.278581
118,0.164418,0.404762
119,0.171602,0.317619
120,0.191859,0.457821
121,0.189678,0.536667
122,0.183186,0.368333
123,0.201215,0.54
124,0.230096,0.575
125,0.195454,0.55
126,0.212171,0.422183
127,0.216611,0.493452
128,0.219805,0.409683
129,0.216011,0.783333
130,0.202998,0.4825
131,0.221271,0.79
132,0.197778,0.5125
133,0.188982,0.7
134,0.187572,0.395397
135,0.185597,0.426667
136,0.210153,0.608333
137,0.221921,0.452897
138,0.194,0.331667
139,0.166056,0.347857
140,0.207552,0.453377
141,0.192144,0.555952
142,0.193189,0.387619
143,0.191215,0.369614
144,0.197438,0.390952
145,0.208818,0.536667
146,0.167417,0.325397
147,0.186662,0.305119
148,0.192197,0.45119
149,0.178561,0.426786
150,0.153724,0.241154
151,0.204747,0.368452
152,0.196517,0.471988
153,0.181149,0.349835
154,0.215081,0.853333
155,0.179928,0.380117
156,0.174669,0.315797
157,0.184391,0.39623
158,0.174571,0.339274
159,0.175915,0.395952
160,0.171621,0.3725
161,0.168647,0.348611
162,0.169377,0.333227
163,0.185607,0.345833
164,0.153951,0.306905
165,0.174083,0.378333
166,0.192257,0.494091
167,0.180117,0.345
168,0.17401,0.339567
169,0.198618,0.419008
170,0.195979,0.336667
171,0.183056,0.352063
172,0.207221,0.534286
173,0.191514,0.340236
174,0.190409,0.341389
175,0.198975,0.443333
176,0.209544,0.558333
177,0.193373,0.418571
178,0.190021,0.344607
179,0.239211,0.417064
180,0.227819,0.435119
181,0.230505,0.617619
182,0.220299,0.425758
183,0.207154,0.429683
184,0.197833,0.456944
185,0.172497,0.341587
186,0.212944,0.467414
187,0.184402,0.561667
188,0.185186,0.340311
189,0.189821,0.399405
190,0.200276,0.478333
191,0.191423,0.424293
192,0.181078,0.452738
193,0.182937,0.498333
194,0.170134,0.263452
195,0.191134,0.412821
196,0.186836,0.481667
197,0.203838,0.551905
198,0.19687,0.383452
199,0.224226,0.478333
200,0.183434,0.571591
201,0.215194,0.438333
202,0.205679,0.505
