Generation,Average Fitness,Best Fitness
1,3.90667,10.4
2,3.34,9.8
3,3.83333,8.6
4,4.26,11.0
5,4.82667,13.2
6,5.52667,10.2
7,5.75333,14.2
8,6.1,14.6
9,6.34,16.2
10,5.98667,10.2
11,6.59333,17.6
12,6.79333,17.4
13,7.93333,15.0
14,8.42667,17.8
15,7.06,15.8
16,8.7,16.4
17,8.96,18.8
18,9.85333,19.0
19,9.40667,27.2
20,10.34,25.0
21,7.86667,20.8
22,9.68,25.8
23,11.62,22.6
24,8.34,23.0
25,8.45333,17.6
26,10.1867,22.6
27,8.86,16.8
28,9.11333,17.6
29,7.75333,19.8
30,8.69333,16.4
31,8.2,19.2
32,7.31333,16.2
33,7.4,13.6
34,7.16667,16.0
35,6.95333,12.8
36,4.8,12.2
37,5.24667,10.4
38,5.48667,13.4
39,4.63333,9.8
40,4.86667,15.2
41,3.32,10.6
42,4.49333,20.0
43,5.97333,15.8
44,5.20667,19.0
45,7.41333,18.4
46,8.94667,15.8
47,7.45333,21.2
48,6.74667,13.6
49,6.61333,11.0
50,5.38667,11.0
51,5.86667,13.0
52,5.24667,11.0
53,5.69333,10.4
54,6.37333,13.4
55,4.43333,9.6
56,4.20667,7.4
57,5.70667,10.6
58,5.24667,11.6
59,5.69333,13.2
60,5.04,10.8
61,5.10667,12.4
62,5.46,12.0
63,6.08,11.8
64,5.61333,18.2
65,5.94667,14.2
66,7.04667,13.8
67,5.44667,11.8
68,5.43333,9.2
69,4.98,10.6
70,4.63333,9.2
71,4.47333,8.2
72,4.67333,9.4
73,5.58667,12.0
74,6.46,10.6
75,6.53333,14.2
76,6.73333,10.8
77,6.56,14.2
78,6.5,13.6
79,7.53333,14.4
80,6.84,14.0
81,8.44,12.2
82,6.24667,11.2
83,5.94667,11.4
84,5.47333,12.0
85,5.8,10.4
86,6.83333,12.2
87,5.36667,9.6
88,4.69333,11.0
89,6.88,13.6
90,4.88,9.6
91,4.99333,8.8
92,5.61333,9.4
93,5.04,12.2
94,7.06,16.0
95,6.56667,12.0
96,5.37333,9.8
97,5.20667,10.2
98,4.91333,10.2
99,4.41333,9.2
100,4.42,8.6
101,4.08,9.0
102,5.18667,12.6
103,4.12,8.0
104,4.60667,10.4
105,4.57333,11.8
106,4.63333,9.0
107,4.76,9.6
108,4.44,10.4
109,4.72,8.6
110,4.53333,9.0
111,4.42,10.6
112,6.11333,9.8
113,4.97333,10.2
114,4.85333,8.6
115,4.90667,8.6
116,5.19333,9.4
117,4.6,8.6
118,4.51333,7.0
119,4.1,8.2
120,3.68,6.6
121,3.21333,6.6
122,3.52,6.6
123,2.88,5.8
124,3.44,6.6
125,3.26,5.8
126,2.81333,5.8
127,3.52,6.0
128,3.50667,8.2
129,3.81333,7.0
130,3.20667,6.2
131,3.10667,8.8
132,3.35333,7.4
133,3.61333,8.0
134,3.28,7.8
135,4.02667,8.4
136,5.04667,11.2
137,3.78667,9.4
138,2.95333,6.2
139,3.64667,8.6
140,3.69333,7.6
141,3.88,6.6
142,2.96667,5.4
143,3.84,7.8
144,3.06,7.6
145,2.86,4.8
146,2.8,5.8
147,2.5,6.2
148,3.0,7.2
149,2.98667,7.8
150,2.89333,6.8
151,3.13333,5.4
152,3.08667,6.6
153,2.13333,6.2
154,2.77333,6.0
155,3.02,5.2
156,2.48667,5.2
157,2.49333,5.0
158,2.97333,5.4
159,2.79333,6.4
160,2.86667,6.2
161,2.18667,6.6
162,2.31333,4.8
163,2.55333,6.0
164,3.37333,6.8
165,2.92,5.4
166,3.4,6.8
167,2.69333,7.2
168,3.28,9.0
169,3.57333,8.2
170,3.39333,7.2
171,3.02667,5.8
172,2.86667,7.4
173,3.88,8.6
174,3.13333,8.0
175,3.68,8.2
176,3.13333,6.6
