Generation,Average Fitness,Best Fitness
1,0.492929,1.0
2,0.2782,0.543333
3,0.334301,0.85
4,0.346793,0.9
5,0.222887,0.415238
6,0.329527,0.708333
7,0.387384,1.0
8,0.25078,0.566667
9,0.219923,0.441667
10,0.242098,0.555
11,0.208858,0.349524
12,0.263628,0.459286
13,0.193928,0.356667
14,0.206443,0.472619
15,0.190476,0.457897
16,0.173586,0.28
17,0.216712,0.383333
18,0.189735,0.500397
19,0.176201,0.333016
20,0.203749,0.419722
21,0.188275,0.487259
22,0.18263,0.347976
23,0.180304,0.362265
24,0.179703,0.397897
25,0.171496,0.358135
26,0.166756,0.356786
27,0.206237,0.506581
28,0.188358,0.434418
29,0.174552,0.411422
30,0.181478,0.329924
31,0.204933,0.47
32,0.170373,0.277107
33,0.18248,0.339861
34,0.166299,0.321634
35,0.155556,0.245113
36,0.162268,0.287711
37,0.164551,0.346369
38,0.156115,0.4375
39,0.162849,0.346978
40,0.153546,0.304488
41,0.146093,0.301561
42,0.163384,0.288853
43,0.150493,0.395952
44,0.13913,0.361142
45,0.153932,0.343634
46,0.168156,0.3275
47,0.156009,0.348281
48,0.148451,0.255119
49,0.184113,0.511667
50,0.170727,0.328089
51,0.153002,0.280236
52,0.187938,0.402137
53,0.189918,0.391279
54,0.166836,0.317335
55,0.201522,0.587778
56,0.175908,0.417617
57,0.164336,0.293711
58,0.187662,0.323452
59,0.185381,0.473535
60,0.170185,0.328333
61,0.155378,0.374167
62,0.169132,0.291667
63,0.166628,0.327619
64,0.155102,0.299637
65,0.203403,0.426912
66,0.167813,0.327656
67,0.169205,0.352341
68,0.163161,0.388609
69,0.147418,0.459444
70,0.190895,0.384488
71,0.172056,0.44873
72,0.176364,0.462619
73,0.166667,0.392222
74,0.163517,0.305
75,0.151589,0.301353
76,0.188595,0.400043
77,0.185714,0.344564
78,0.209985,0.5
79,0.215162,0.487894
80,0.20729,0.645
81,0.211584,0.467821
82,0.184702,0.330556
83,0.206296,0.354924
84,0.196281,0.495
85,0.192574,0.341667
86,0.190341,0.475
87,0.210956,0.450833
88,0.224554,0.412778
89,0.190918,0.350609
90,0.222572,0.363889
91,0.224069,0.405952
92,0.22312,0.390833
93,0.211878,0.406667
94,0.201329,0.456111
95,0.182984,0.386218
96,0.201056,0.429524
97,0.186831,0.374444
98,0.221777,0.424167
99,0.232435,0.506667
100,0.215408,0.402543
101,0.233602,0.440952
102,0.225404,0.415079
103,0.217572,0.445
104,0.255132,0.543333
105,0.242604,0.62
106,0.234485,0.386905
107,0.263828,0.653333
108,0.249785,0.536944
109,0.242666,0.566667
110,0.264474,0.463452
111,0.214962,0.435
112,0.254485,0.62
113,0.267537,0.583333
114,0.31027,1.0
115,0.308566,0.541667
116,0.352297,0.778333
117,0.32317,1.0
118,0.318916,0.65
119,0.382461,0.833333
120,0.41402,1.0
121,0.327246,0.95
122,0.287807,0.528333
123,0.332508,0.883333
124,0.294108,0.728333
125,0.313458,0.736667
126,0.341338,0.608333
127,0.329025,1.0
128,0.330389,0.59
129,0.300902,0.597778
130,0.284317,0.9
131,0.278336,0.5
132,0.288935,0.603333
133,0.333354,0.755952
134,0.300649,0.7
135,0.338096,0.8
136,0.352375,0.8
137,0.310294,0.608333
138,0.296577,0.533333
139,0.332395,0.833333
140,0.250302,0.586667
141,0.298686,0.85
142,0.281887,0.65
143,0.313121,0.595
144,0.31721,0.75
145,0.299264,0.8
146,0.286397,0.9
147,0.364252,0.7
148,0.383371,0.8
149,0.372918,1.0
150,0.319973,0.703333
151,0.388922,0.816667
152,0.367436,0.666667
153,0.388966,0.683333
154,0.387913,0.8
155,0.466531,0.933333
156,0.502321,1.0
157,0.401386,0.77
158,0.344718,0.708333
159,0.368233,0.683333
160,0.306613,0.52
161,0.340387,0.575
162,0.353216,0.9
163,0.435251,1.0
164,0.364846,0.658333
165,0.429177,1.0
166,0.407301,0.9
167,0.41034,0.933333
168,0.362632,0.866667
169,0.388563,0.9
170,0.39374,0.9
171,0.39272,0.666667
172,0.325465,0.65
173,0.316006,0.775
174,0.352231,0.616667
175,0.37226,0.573333
176,0.379116,0.725
177,0.390584,0.9
178,0.378259,0.675
179,0.352148,0.7
180,0.401543,1.0
181,0.372629,0.883333
