Generation,Average Fitness,Best Fitness
1,2.96667,8.8
2,5.02,11.8
3,4.36667,9.6
4,4.64,9.6
5,5.91333,13.2
6,4.20667,13.6
7,3.68667,8.8
8,5.39333,18.2
9,6.79333,14.8
10,6.33333,14.8
11,7.26667,11.6
12,6.37333,13.8
13,7.08,22.2
14,7.7,16.8
15,8.58667,17.0
16,8.84,18.4
17,7.38667,16.4
18,7.94667,21.2
19,8.29333,14.2
20,8.04667,13.6
21,8.22,15.0
22,9.06,16.4
23,9.32,18.6
24,9.22,17.8
25,8.66667,14.8
26,9.78,15.4
27,8.06,19.0
28,8.56,18.8
29,8.9,13.8
30,8.86,15.0
31,8.8,17.0
32,9.52,16.6
33,8.96667,15.2
34,10.2333,17.2
35,10.2067,16.8
36,9.64667,17.4
37,9.86,18.0
38,10.1133,20.2
39,10.82,19.8
40,10.4267,19.4
41,11.5133,18.2
42,10.4133,15.8
43,11.32,18.2
44,12.28,22.4
45,11.0133,18.6
46,10.1,16.4
47,10.9733,16.6
48,9.78,17.0
49,9.94667,18.2
50,10.14,19.2
51,10.5933,17.0
52,9.05333,16.0
53,8.68,15.2
54,10.26,19.0
55,9.36667,16.2
56,9.22,12.8
57,9.47333,16.0
58,9.02,14.2
59,9.36667,16.4
60,8.98667,15.4
61,9.68,14.8
62,9.59333,14.6
63,9.50667,16.8
64,9.82667,15.2
65,9.34667,16.4
66,9.32667,16.4
67,9.23333,14.2
68,10.4,16.6
69,10.36,14.2
70,9.26667,14.4
71,9.03333,13.2
72,9.08667,14.2
73,9.53333,15.2
74,10.08,24.6
75,10.5667,17.0
76,8.71333,14.6
77,8.47333,13.8
78,8.22667,13.8
79,7.86,16.2
80,7.14667,13.4
81,7.41333,11.0
82,8.77333,13.4
83,7.53333,19.6
84,7.53333,14.8
85,7.60667,12.8
86,8.27333,16.2
87,7.62,12.0
88,7.58,14.0
89,8.26,15.2
90,6.86,13.2
91,6.99333,13.6
92,6.65333,14.4
93,7.03333,11.4
94,7.63333,14.4
95,8.42667,14.0
96,7.44667,12.8
97,7.74667,11.2
98,6.97333,11.0
99,7.09333,12.4
100,7.30667,14.4
101,6.74,14.8
102,6.36,11.0
103,7.24,11.8
104,5.66667,10.4
105,7.24667,11.8
106,6.30667,11.0
107,5.69333,10.4
108,6.02,11.6
109,6.00667,11.2
110,5.86667,11.6
111,7.1,11.6
112,5.84667,12.0
113,5.76667,10.0
114,4.73333,8.2
115,4.53333,7.6
116,4.77333,8.6
117,4.63333,9.6
118,4.25333,8.8
119,3.32,6.0
120,3.52667,8.0
121,4.24,8.2
122,4.58,9.8
123,4.31333,7.4
124,4.32667,11.6
125,4.51333,9.4
126,3.92,7.0
127,3.94,9.0
128,4.08667,8.2
129,4.52667,8.2
130,5.12,10.2
131,4.93333,12.8
132,5.26667,11.0
133,4.46667,8.0
134,5.12,14.8
135,4.40667,7.8
136,4.35333,9.0
137,4.56667,10.2
138,4.4,8.0
139,4.39333,11.0
140,5.36,12.2
141,4.92667,8.4
142,5.78,9.2
143,5.07333,9.8
144,5.25333,9.6
145,5.83333,12.6
146,5.42667,10.8
147,3.52667,6.8
148,3.41333,7.2
149,4.10667,9.8
150,4.48,12.2
151,3.34,8.6
152,3.46,6.2
153,2.91333,7.6
154,3.03333,8.2
155,2.31333,6.0
156,2.26,5.2
157,3.05333,6.2
158,3.42,6.6
159,3.27333,7.8
160,3.82,9.0
161,3.75333,7.0
162,3.5,7.4
163,3.11333,6.6
164,3.72,9.0
165,2.92,7.2
166,3.26667,7.0
167,3.08667,7.4
168,3.33333,8.2
169,3.42667,8.0
170,3.46,7.2
171,3.50667,7.4
172,3.98,7.4
173,4.84,10.4
174,3.91333,12.0
175,3.55333,7.2
176,3.44,6.8
177,3.26,7.0
178,3.03333,5.2
179,3.5,6.4
180,3.37333,7.0
181,3.62667,7.4
182,3.68667,7.0
183,3.44,7.0
184,2.76667,8.0
185,4.09333,8.4
186,3.22,5.0
187,3.11333,7.2
188,2.78,5.8
189,3.46667,7.4
190,3.34,6.2
191,3.02,7.8
192,2.98,5.6
193,2.56667,5.8
194,3.54,8.4
195,3.52,6.8
196,3.38,6.0
197,3.12667,6.2
198,2.94,7.4
199,2.93333,5.0
200,2.76667,5.4
201,2.84667,5.6
202,2.28667,4.8
203,3.37333,5.2
204,2.62,6.2
205,2.44667,4.6
206,2.55333,6.0
207,2.35333,5.2
208,2.23333,6.4
209,2.76,6.8
210,2.79333,5.8
211,2.64,6.6
212,2.82,5.2
213,2.36,4.6
214,2.42667,6.2
215,2.51333,5.6
216,2.54667,5.0
217,3.22,6.0
218,2.82,6.4
219,2.68,6.6
220,2.41333,5.4
221,2.79333,5.8
222,3.11333,5.4
223,3.01333,5.2
224,3.16,5.6
225,3.3,6.6
226,2.78,5.4
227,3.22667,7.4
228,2.68,6.6
229,2.04,5.2
230,2.52667,5.6
231,2.63333,4.4
232,2.58,6.8
233,3.46667,7.8
234,2.08,5.0
235,1.88667,6.6
236,1.84,5.8
237,1.52667,3.2
238,1.57333,4.0
239,1.86667,4.4
240,1.79333,3.6
241,2.08667,6.2
242,1.74667,4.6
243,2.61333,7.0
