Generation,Average Fitness,Best Fitness
1,3.23333,7.4
2,3.89333,7.8
3,4.39333,11.2
4,3.99333,11.0
5,4.43333,10.4
6,4.50667,16.0
7,4.48667,12.4
8,4.85333,11.4
9,5.14,13.8
10,6.21333,11.0
11,6.9,14.2
12,7.49333,13.2
13,8.17333,17.2
14,7.45333,13.6
15,8.16667,15.8
16,7.99333,19.4
17,9.0,17.8
18,10.0,22.2
19,9.98,20.2
20,12.2133,21.8
21,12.0133,21.2
22,11.56,23.4
23,12.4733,23.0
24,11.8533,22.0
25,13.44,23.4
26,14.8067,25.6
27,15.58,27.6
28,12.7333,19.8
29,13.48,21.6
30,13.3733,20.6
31,11.02,16.6
32,11.6733,19.8
33,12.84,20.6
34,11.9133,17.2
35,11.6133,19.0
36,11.5533,18.6
37,11.9267,22.0
38,11.5067,20.6
39,12.06,16.8
40,11.2667,17.0
41,10.8933,19.0
42,12.2467,20.8
43,12.52,19.0
44,12.56,19.2
45,10.8733,16.8
46,12.2267,19.6
47,12.84,20.0
48,11.94,21.2
49,12.4333,18.8
50,12.72,17.8
51,12.3,20.2
52,14.8933,20.8
53,12.3533,19.8
54,12.74,19.0
55,11.9933,17.4
56,10.9133,19.4
57,9.72667,17.6
58,10.0467,16.4
59,10.6867,14.4
60,11.4333,17.8
61,12.2533,20.6
62,10.6333,15.4
63,12.5667,19.4
64,12.2,18.2
65,12.8467,20.8
66,14.0667,25.0
67,12.8533,20.0
68,14.7667,22.0
69,13.3267,20.2
70,12.4133,24.6
71,13.48,23.0
72,14.2,26.2
73,14.3667,23.8
74,17.1933,29.8
75,12.3,20.4
76,14.0267,22.6
77,16.28,28.6
78,16.4,25.4
79,17.7,23.4
80,16.3267,24.8
81,17.4133,27.2
82,17.3133,27.8
83,16.9,25.4
84,15.7667,24.0
85,17.3067,27.6
86,20.9067,30.2
87,19.48,30.8
88,19.3467,28.2
89,19.0,25.4
90,18.5667,26.4
91,17.1267,27.0
92,18.3533,29.4
93,17.7667,26.8
94,17.7467,27.2
95,17.7067,32.0
96,19.0467,30.8
97,17.9133,28.6
98,18.4867,30.8
99,18.2067,30.0
100,17.4067,27.2
101,19.0133,29.6
102,18.6333,30.2
103,17.1067,26.2
104,13.54,21.8
105,13.68,20.8
106,12.8533,19.6
107,14.2667,24.6
108,13.8,26.4
109,13.9533,21.0
110,13.0467,23.6
111,13.9667,22.4
112,12.88,18.6
113,13.34,22.6
114,12.76,18.2
115,13.0467,20.0
116,11.8267,18.6
117,11.2133,18.8
118,10.5467,15.8
119,9.4,14.0
120,7.96,11.6
121,8.66667,15.0
122,8.72667,14.6
123,8.14667,12.0
124,7.22,14.0
125,8.28,13.8
126,8.38,14.6
127,7.93333,12.4
128,7.38667,13.0
129,8.04667,11.8
130,7.56667,13.2
131,8.27333,14.2
132,8.46667,13.2
133,8.69333,14.6
134,8.60667,17.2
135,8.72,16.2
136,8.10667,14.8
137,7.61333,13.6
138,7.87333,14.4
139,9.2,13.6
140,8.31333,16.0
141,8.44,13.2
142,8.1,13.8
143,8.37333,13.0
144,8.25333,12.8
145,7.84667,12.2
146,8.92667,14.6
147,8.57333,14.8
148,8.38,15.4
149,8.94,15.2
150,9.35333,14.8
151,7.16667,12.0
152,8.25333,14.2
153,8.56,16.2
