Generation,Average Fitness,Best Fitness
1,0.401955,1.0
2,0.353296,1.0
3,0.395204,0.775
4,0.317581,0.708333
5,0.2991,0.626786
6,0.289688,0.55
7,0.220567,0.491667
8,0.311085,0.6
9,0.268499,0.508333
10,0.200539,0.38348
11,0.250636,0.456905
12,0.222848,0.508333
13,0.224164,0.534683
14,0.241834,0.65
15,0.217467,0.387619
16,0.195093,0.55873
17,0.224239,0.442063
18,0.232478,0.628333
19,0.181933,0.275952
20,0.208761,0.398333
21,0.209392,0.497619
22,0.207659,0.382778
23,0.192253,0.346786
24,0.231551,0.579167
25,0.188432,0.395
26,0.218784,0.475
27,0.193812,0.566071
28,0.209426,0.517424
29,0.20492,0.508333
30,0.196132,0.395833
31,0.188259,0.36873
32,0.24393,0.408333
33,0.230851,0.566667
34,0.275693,0.686667
35,0.307592,0.783333
36,0.325981,0.833333
37,0.298151,0.625
38,0.288689,0.503333
39,0.292865,0.866667
40,0.244481,0.6
41,0.260202,0.6
42,0.290229,0.641667
43,0.289011,0.641667
44,0.278594,0.545
45,0.287006,0.64
46,0.295096,0.736667
47,0.286526,0.541667
48,0.31257,0.716667
49,0.285463,0.633333
50,0.311491,0.558333
51,0.36019,0.833333
52,0.309648,0.725
53,0.374041,1.0
54,0.348518,0.636667
55,0.324807,0.6
56,0.38973,0.866667
57,0.378323,0.683333
58,0.352306,0.778333
59,0.375429,0.883333
60,0.311883,0.716667
61,0.361383,0.678333
62,0.372665,0.69
63,0.358087,0.75
64,0.351385,0.85
65,0.337449,0.803333
66,0.385424,1.0
67,0.459796,0.95
68,0.400253,0.866667
69,0.410781,0.85
70,0.371005,0.616667
71,0.406389,0.9
72,0.40502,0.75
73,0.455363,0.933333
74,0.448377,0.9
75,0.470316,1.0
76,0.512192,1.0
77,0.501634,1.0
78,0.572972,1.0
79,0.537872,1.0
80,0.608714,1.0
81,0.569115,1.0
82,0.502426,1.0
83,0.55123,1.0
84,0.506802,1.0
85,0.600464,1.0
86,0.535671,1.0
87,0.596602,1.0
88,0.591147,1.0
89,0.595198,1.0
90,0.467348,1.0
91,0.471333,1.0
92,0.529262,1.0
93,0.586717,1.0
94,0.38569,0.95
95,0.520317,1.0
96,0.508467,1.0
97,0.622536,1.0
98,0.537003,1.0
99,0.548901,0.9
100,0.572061,1.0
101,0.531437,1.0
102,0.604359,1.0
103,0.553076,1.0
104,0.596155,1.0
105,0.578667,1.0
106,0.531635,1.0
107,0.563374,1.0
108,0.601996,1.0
109,0.59865,1.0
110,0.52094,1.0
111,0.559583,1.0
112,0.509853,1.0
113,0.535123,1.0
114,0.569133,1.0
115,0.523315,1.0
116,0.527521,1.0
117,0.646923,1.0
118,0.506324,1.0
119,0.49575,0.95
120,0.540847,1.0
121,0.366352,0.766667
122,0.385419,1.0
123,0.418516,1.0
124,0.366099,0.683333
125,0.406734,0.816667
126,0.449212,0.8
127,0.450114,0.758333
128,0.478471,1.0
129,0.420987,1.0
130,0.533728,1.0
131,0.457967,0.95
132,0.490492,0.9
133,0.463704,1.0
134,0.403291,1.0
135,0.394066,0.8
136,0.42789,1.0
137,0.453381,1.0
138,0.465483,1.0
139,0.37006,0.6
140,0.361664,0.641667
141,0.438923,0.85
142,0.544131,1.0
143,0.44719,1.0
144,0.449183,1.0
145,0.483983,0.95
146,0.539948,1.0
147,0.495647,1.0
148,0.49107,1.0
149,0.531828,1.0
150,0.432942,0.866667
151,0.44788,1.0
152,0.49296,1.0
153,0.475567,1.0
154,0.54027,1.0
155,0.503475,1.0
156,0.488452,1.0
157,0.473443,1.0
158,0.49023,1.0
159,0.55929,1.0
160,0.499802,1.0
161,0.48456,1.0
162,0.564721,1.0
163,0.506218,1.0
164,0.536946,1.0
165,0.4452,0.7
166,0.42741,1.0
167,0.506357,0.95
168,0.454037,1.0
169,0.477254,1.0
170,0.499188,0.816667
171,0.454958,1.0
172,0.495254,1.0
173,0.475996,0.85
174,0.426335,0.95
175,0.480863,0.9
176,0.445631,1.0
177,0.498302,1.0
178,0.547841,1.0
179,0.542435,1.0
180,0.502242,0.925
181,0.481122,1.0
182,0.519431,1.0
183,0.508111,0.933333
184,0.479615,1.0
185,0.503142,0.866667
186,0.480673,0.95
187,0.49564,0.95
188,0.522795,1.0
189,0.439206,0.75
190,0.466223,0.8
191,0.491778,1.0
192,0.46519,1.0
193,0.507249,1.0
194,0.414466,0.741667
195,0.460377,0.816667
196,0.573845,1.0
197,0.511359,1.0
198,0.569055,1.0
199,0.565854,1.0
200,0.556377,1.0
201,0.465601,1.0
202,0.466954,1.0
203,0.458906,1.0
204,0.491981,1.0
205,0.5082,1.0
206,0.520193,1.0
207,0.482376,1.0
208,0.512322,1.0
209,0.451749,0.95
210,0.515101,1.0
211,0.540601,0.95
212,0.572238,1.0
213,0.476831,1.0
214,0.483868,1.0
215,0.440969,0.8
216,0.51749,1.0
217,0.478919,0.95
218,0.441925,1.0
219,0.514463,1.0
220,0.508831,1.0
221,0.500454,0.9
222,0.499536,1.0
223,0.547168,1.0
224,0.550868,1.0
225,0.533987,1.0
226,0.550105,1.0
227,0.555943,1.0
228,0.51534,1.0
229,0.507724,1.0
230,0.465862,1.0
231,0.537095,1.0
232,0.510882,1.0
233,0.461784,1.0
234,0.495093,1.0
235,0.447103,0.683333
236,0.534889,1.0
237,0.492952,1.0
238,0.449119,0.9
239,0.488062,0.95
240,0.444839,0.9
241,0.519353,1.0
242,0.518329,1.0
243,0.475942,1.0
244,0.455896,1.0
245,0.49541,0.9
246,0.468826,0.9
247,0.477869,0.95
248,0.449667,1.0
249,0.442908,0.85
250,0.48946,0.95
251,0.455455,1.0
252,0.478005,1.0
253,0.482516,0.95
254,0.505681,1.0
255,0.453194,0.85
256,0.52582,1.0
257,0.532247,1.0
258,0.524968,1.0
259,0.454837,1.0
260,0.527556,1.0
261,0.560358,0.95
262,0.53027,0.85
263,0.49544,0.933333
264,0.494909,0.933333
265,0.574237,1.0
266,0.482589,1.0
267,0.487329,0.875
268,0.552959,1.0
269,0.584865,1.0
270,0.45622,1.0
271,0.485574,1.0
272,0.530582,1.0
273,0.481168,1.0
274,0.414166,0.95
275,0.532157,1.0
276,0.523317,1.0
277,0.524226,1.0
278,0.541956,1.0
279,0.528426,1.0
280,0.48386,0.95
281,0.543673,1.0
282,0.414298,0.933333
283,0.411187,1.0
284,0.469753,0.85
285,0.486032,1.0
286,0.55684,1.0
287,0.492107,0.95
288,0.449952,0.883333
289,0.537651,1.0
290,0.529939,1.0
291,0.487127,1.0
292,0.555442,1.0
293,0.514705,1.0
294,0.559012,1.0
295,0.453133,1.0
296,0.492315,0.95
297,0.442071,1.0
298,0.530891,1.0
299,0.443759,1.0
300,0.516561,1.0
301,0.46657,1.0
302,0.549698,1.0
303,0.53382,0.9
304,0.50552,0.95
305,0.558627,1.0
306,0.49093,1.0
307,0.452514,0.75
308,0.471609,0.95
309,0.469611,1.0
310,0.447795,0.9
311,0.508098,0.9
312,0.465298,1.0
313,0.448187,0.758333
314,0.481102,1.0
315,0.481939,0.95
316,0.433836,1.0
317,0.565452,1.0
318,0.487369,1.0
319,0.527716,1.0
320,0.570349,1.0
321,0.463192,0.758333
322,0.477663,0.75
323,0.544089,1.0
324,0.489396,0.95
325,0.375795,0.85
326,0.475079,0.95
327,0.499033,1.0
328,0.447811,1.0
329,0.459686,1.0
330,0.494017,1.0
331,0.48453,0.9
332,0.418692,1.0
333,0.46297,1.0
334,0.467035,0.9
335,0.555234,1.0
336,0.490258,1.0
337,0.484198,1.0
338,0.484825,1.0
339,0.463417,0.95
340,0.446835,0.8
341,0.463381,0.9
342,0.520196,1.0
343,0.456586,1.0
344,0.451225,1.0
345,0.426421,1.0
346,0.411501,1.0
347,0.379306,1.0
348,0.378769,0.866667
349,0.450642,1.0
350,0.415928,1.0
351,0.465353,0.9
352,0.53981,1.0
353,0.473066,1.0
354,0.486213,0.95
355,0.517862,1.0
356,0.448278,1.0
357,0.51225,1.0
358,0.487726,0.95
359,0.474382,0.95
360,0.487962,0.95
361,0.525417,1.0
362,0.492606,0.85
363,0.450623,1.0
364,0.414218,0.883333
365,0.441741,0.9
366,0.462839,1.0
367,0.419086,0.95
368,0.524025,1.0
369,0.546331,1.0
370,0.430398,1.0
371,0.493686,1.0
372,0.447563,0.883333
373,0.436638,0.833333
374,0.389321,0.620238
375,0.514286,1.0
376,0.529825,0.95
377,0.540751,1.0
378,0.459791,0.9
379,0.426845,1.0
380,0.44969,1.0
381,0.453954,0.8
382,0.39038,0.95
383,0.450459,0.95
384,0.44847,0.733333
385,0.486853,0.95
386,0.506791,1.0
387,0.520089,0.9
388,0.557697,1.0
389,0.508208,1.0
390,0.473619,0.783333
391,0.481337,0.933333
392,0.476954,1.0
393,0.464413,0.85
394,0.499724,1.0
395,0.441162,1.0
396,0.439335,0.883333
397,0.378284,0.816667
398,0.351612,0.595
399,0.410863,0.7
400,0.40623,1.0
401,0.474021,1.0
402,0.385868,0.679167
403,0.400671,0.9
404,0.396314,0.783333
405,0.439878,0.95
406,0.448266,1.0
407,0.44437,1.0
408,0.39673,1.0
409,0.343273,0.7
410,0.454196,0.833333
411,0.439545,0.9
412,0.394578,0.733333
413,0.422992,0.95
414,0.382228,0.866667
415,0.397827,0.75
416,0.443492,0.866667
417,0.42414,1.0
418,0.534295,1.0
419,0.436696,0.816667
420,0.410657,0.95
421,0.377098,0.883333
422,0.477407,1.0
423,0.366997,0.541667
424,0.424987,0.95
425,0.475979,0.9
426,0.432812,1.0
427,0.442258,0.75
428,0.447919,1.0
429,0.461304,1.0
430,0.487011,1.0
431,0.464877,0.95
432,0.405049,1.0
433,0.495468,1.0
434,0.53504,1.0
435,0.452983,0.95
436,0.41121,0.9
437,0.388558,0.833333
438,0.439052,0.716667
439,0.464013,1.0
440,0.457961,1.0
441,0.406234,1.0
442,0.506888,1.0
443,0.471898,1.0
444,0.396335,0.75
445,0.331667,0.628333
446,0.471081,1.0
447,0.341819,0.55
448,0.406385,0.85
449,0.437112,0.758333
450,0.381212,0.725
451,0.366125,0.75
452,0.339902,0.725
453,0.365381,0.65
454,0.374101,0.7
455,0.391426,0.766667
456,0.398226,0.9
457,0.394624,0.808333
458,0.415324,1.0
459,0.402142,0.666667
460,0.42498,1.0
461,0.442535,0.683333
462,0.41655,1.0
463,0.408364,0.95
464,0.402669,1.0
465,0.40116,1.0
466,0.465066,1.0
467,0.438349,0.95
468,0.462621,1.0
469,0.500361,1.0
470,0.429903,0.833333
471,0.354258,1.0
472,0.414366,0.75
473,0.466298,1.0
474,0.462889,1.0
475,0.45323,0.866667
476,0.477059,1.0
477,0.549586,1.0
478,0.470548,0.95
479,0.451701,0.866667
480,0.468406,1.0
481,0.349363,0.8
482,0.418806,0.775
483,0.449036,1.0
484,0.369703,1.0
485,0.491603,0.933333
486,0.580734,1.0
487,0.509856,1.0
488,0.573139,1.0
489,0.520844,1.0
490,0.571667,1.0
491,0.564627,1.0
492,0.574067,1.0
493,0.596294,1.0
494,0.662097,1.0
495,0.615783,1.0
496,0.559856,1.0
497,0.626298,1.0
498,0.569419,1.0
499,0.644956,1.0
500,0.607577,1.0
501,0.552401,0.95
502,0.635333,1.0
503,0.640948,1.0
504,0.654,1.0
505,0.546814,1.0
506,0.639841,1.0
507,0.619,1.0
508,0.519548,0.95
509,0.704398,1.0
510,0.604933,1.0
511,0.604333,1.0
512,0.642101,1.0
513,0.587739,1.0
514,0.605833,1.0
515,0.549813,1.0
516,0.578237,1.0
517,0.626861,1.0
518,0.587817,1.0
519,0.551341,1.0
520,0.605933,1.0
521,0.635833,1.0
522,0.630778,1.0
523,0.55793,1.0
524,0.621401,1.0
525,0.574206,1.0
526,0.558991,1.0
527,0.582618,1.0
528,0.569759,1.0
529,0.521516,1.0
530,0.570421,1.0
531,0.564532,1.0
532,0.582754,1.0
533,0.546984,1.0
534,0.568444,1.0
535,0.55521,1.0
536,0.540064,1.0
537,0.552452,1.0
538,0.593111,1.0
539,0.482897,1.0
540,0.507167,1.0
541,0.556484,0.95
542,0.53798,1.0
543,0.489931,1.0
544,0.576444,0.95
545,0.498683,1.0
546,0.542278,1.0
547,0.484366,1.0
548,0.480997,1.0
549,0.599754,1.0
550,0.539201,1.0
551,0.553819,1.0
552,0.540452,1.0
553,0.526517,1.0
554,0.511565,1.0
555,0.495861,0.95
556,0.454675,0.933333
557,0.554439,1.0
558,0.55796,1.0
559,0.555698,1.0
560,0.538082,1.0
561,0.50115,0.95
562,0.502413,1.0
563,0.514492,1.0
564,0.635528,1.0
565,0.629759,1.0
566,0.548624,1.0
567,0.5385,1.0
568,0.540841,0.9
569,0.599548,1.0
570,0.51859,1.0
571,0.551214,1.0
572,0.483537,1.0
573,0.475744,0.95
574,0.514616,0.95
575,0.597373,1.0
576,0.500206,0.8
